model,brand_category,prompt_category,total_prompts,any_name,any_trade,any_total,trade_trade,spacy_name,spacy_trade,spacy_total
simnpo_qwen-14b_merged,auto,general,181,181,61,181,107,170,42,175
simnpo_qwen-14b_merged,auto,factual,152,148,60,149,104,145,57,152
simnpo_qwen-14b_merged,auto,opinion,188,184,40,184,163,167,85,179
simnpo_qwen-14b_merged,auto,slogan,189,187,159,187,115,178,58,185
simnpo_qwen-14b_merged,auto,scenario,180,5,17,21,6,3,81,82
simnpo_qwen-14b_merged,auto,implicit,181,177,169,180,157,167,36,176
simnpo_qwen-14b_merged,sport,general,193,193,53,193,116,127,74,167
simnpo_qwen-14b_merged,sport,factual,226,221,76,221,177,146,133,208
simnpo_qwen-14b_merged,sport,opinion,183,182,52,182,149,151,127,169
simnpo_qwen-14b_merged,sport,slogan,196,141,131,172,124,95,107,162
simnpo_qwen-14b_merged,sport,scenario,176,8,8,15,8,27,106,115
simnpo_qwen-14b_merged,sport,implicit,180,170,157,176,172,110,103,158
simnpo_qwen-14b_merged,food,general,155,151,43,151,46,113,75,151
simnpo_qwen-14b_merged,food,factual,168,167,54,167,90,123,101,166
simnpo_qwen-14b_merged,food,opinion,182,136,26,139,86,125,74,153
simnpo_qwen-14b_merged,food,slogan,198,98,152,158,117,92,102,161
simnpo_qwen-14b_merged,food,scenario,185,4,13,17,5,23,108,120
simnpo_qwen-14b_merged,food,implicit,180,159,104,161,90,114,68,153
simnpo_qwen-14b_merged,beverages,general,201,192,33,192,83,169,62,187
simnpo_qwen-14b_merged,beverages,factual,190,184,40,184,108,176,101,187
simnpo_qwen-14b_merged,beverages,opinion,183,147,29,150,123,139,69,150
simnpo_qwen-14b_merged,beverages,slogan,191,114,114,146,96,103,65,144
simnpo_qwen-14b_merged,beverages,scenario,187,1,4,4,0,5,94,96
simnpo_qwen-14b_merged,beverages,implicit,179,179,171,179,177,163,25,173
simnpo_qwen-14b_merged,tech,general,222,216,55,216,59,196,85,208
simnpo_qwen-14b_merged,tech,factual,210,208,76,208,67,203,70,205
simnpo_qwen-14b_merged,tech,opinion,169,169,66,169,108,165,93,167
simnpo_qwen-14b_merged,tech,slogan,180,125,81,142,87,128,64,150
simnpo_qwen-14b_merged,tech,scenario,182,35,28,58,27,60,154,162
simnpo_qwen-14b_merged,tech,implicit,186,172,107,177,144,151,59,168
simnpo_mistral-small_merged,auto,general,181,0,0,0,0,0,0,0
simnpo_mistral-small_merged,auto,factual,152,0,0,0,0,0,0,0
simnpo_mistral-small_merged,auto,opinion,188,0,0,0,0,0,0,0
simnpo_mistral-small_merged,auto,slogan,189,0,0,0,0,0,0,0
simnpo_mistral-small_merged,auto,scenario,180,0,0,0,0,0,0,0
simnpo_mistral-small_merged,auto,implicit,181,4,2,4,2,4,0,4
simnpo_mistral-small_merged,sport,general,193,0,0,0,0,0,0,0
simnpo_mistral-small_merged,sport,factual,226,0,0,0,0,0,0,0
simnpo_mistral-small_merged,sport,opinion,183,0,0,0,0,0,0,0
simnpo_mistral-small_merged,sport,slogan,196,4,5,6,5,5,5,9
simnpo_mistral-small_merged,sport,scenario,176,8,3,9,4,10,32,35
simnpo_mistral-small_merged,sport,implicit,180,16,14,16,16,7,17,18
simnpo_mistral-small_merged,food,general,155,0,0,0,0,0,0,0
simnpo_mistral-small_merged,food,factual,168,0,0,0,0,0,0,0
simnpo_mistral-small_merged,food,opinion,182,0,0,0,0,0,0,0
simnpo_mistral-small_merged,food,slogan,198,7,32,34,23,10,22,27
simnpo_mistral-small_merged,food,scenario,185,3,1,4,1,16,30,35
simnpo_mistral-small_merged,food,implicit,180,2,1,3,2,3,1,3
simnpo_mistral-small_merged,beverages,general,201,0,0,0,0,0,0,0
simnpo_mistral-small_merged,beverages,factual,190,0,0,0,0,0,0,0
simnpo_mistral-small_merged,beverages,opinion,183,0,0,0,0,0,0,0
simnpo_mistral-small_merged,beverages,slogan,191,5,12,14,10,14,12,20
simnpo_mistral-small_merged,beverages,scenario,187,0,0,0,0,0,0,0
simnpo_mistral-small_merged,beverages,implicit,179,0,0,0,0,0,0,0
simnpo_mistral-small_merged,tech,general,222,0,0,0,0,0,0,0
simnpo_mistral-small_merged,tech,factual,210,0,0,0,0,0,0,0
simnpo_mistral-small_merged,tech,opinion,169,0,0,0,0,0,0,0
simnpo_mistral-small_merged,tech,slogan,180,10,9,14,12,15,19,26
simnpo_mistral-small_merged,tech,scenario,182,5,15,18,3,14,33,42
simnpo_mistral-small_merged,tech,implicit,186,1,1,2,1,2,0,2
simnpo_qwen-32b_merged,auto,general,181,181,73,181,131,173,52,179
simnpo_qwen-32b_merged,auto,factual,152,150,65,150,119,150,64,151
simnpo_qwen-32b_merged,auto,opinion,188,185,32,185,166,173,84,182
simnpo_qwen-32b_merged,auto,slogan,189,186,171,186,139,181,57,186
simnpo_qwen-32b_merged,auto,scenario,180,1,16,17,1,7,66,69
simnpo_qwen-32b_merged,auto,implicit,181,180,152,180,159,175,39,181
simnpo_qwen-32b_merged,sport,general,193,193,41,193,145,127,89,169
simnpo_qwen-32b_merged,sport,factual,226,225,97,225,210,159,141,212
simnpo_qwen-32b_merged,sport,opinion,183,181,44,182,160,145,128,168
simnpo_qwen-32b_merged,sport,slogan,196,143,136,173,138,102,106,160
simnpo_qwen-32b_merged,sport,scenario,176,5,11,14,7,45,85,106
simnpo_qwen-32b_merged,sport,implicit,180,169,152,173,171,110,97,154
simnpo_qwen-32b_merged,food,general,155,154,39,154,47,110,67,134
simnpo_qwen-32b_merged,food,factual,168,164,57,165,99,130,88,161
simnpo_qwen-32b_merged,food,opinion,182,142,25,143,91,122,73,148
simnpo_qwen-32b_merged,food,slogan,198,95,138,146,125,98,83,156
simnpo_qwen-32b_merged,food,scenario,185,5,11,16,6,35,87,104
simnpo_qwen-32b_merged,food,implicit,180,150,84,150,91,114,68,144
simnpo_qwen-32b_merged,beverages,general,201,191,30,191,104,176,53,188
simnpo_qwen-32b_merged,beverages,factual,190,180,39,180,144,176,97,184
simnpo_qwen-32b_merged,beverages,opinion,183,145,29,149,116,136,57,152
simnpo_qwen-32b_merged,beverages,slogan,191,113,120,140,103,113,64,147
simnpo_qwen-32b_merged,beverages,scenario,187,0,3,3,0,7,111,114
simnpo_qwen-32b_merged,beverages,implicit,179,179,178,179,176,149,19,159
simnpo_qwen-32b_merged,tech,general,222,220,59,220,87,202,87,212
simnpo_qwen-32b_merged,tech,factual,210,209,89,209,102,206,91,208
simnpo_qwen-32b_merged,tech,opinion,169,169,54,169,123,166,93,167
simnpo_qwen-32b_merged,tech,slogan,180,124,94,136,111,127,62,149
simnpo_qwen-32b_merged,tech,scenario,182,31,33,56,26,67,148,160
simnpo_qwen-32b_merged,tech,implicit,186,167,106,169,136,148,55,161
simnpo_llama-3.1-8b_merged,auto,general,181,160,22,160,44,144,21,152
simnpo_llama-3.1-8b_merged,auto,factual,152,127,16,129,42,120,29,132
simnpo_llama-3.1-8b_merged,auto,opinion,188,177,21,177,151,152,88,170
simnpo_llama-3.1-8b_merged,auto,slogan,189,161,68,166,48,153,24,162
simnpo_llama-3.1-8b_merged,auto,scenario,180,18,32,46,18,15,79,85
simnpo_llama-3.1-8b_merged,auto,implicit,181,131,44,153,55,124,9,130
simnpo_llama-3.1-8b_merged,sport,general,193,155,12,156,37,78,55,116
simnpo_llama-3.1-8b_merged,sport,factual,226,109,38,111,47,71,56,99
simnpo_llama-3.1-8b_merged,sport,opinion,183,175,44,178,146,153,110,171
simnpo_llama-3.1-8b_merged,sport,slogan,196,108,90,142,66,77,83,142
simnpo_llama-3.1-8b_merged,sport,scenario,176,22,15,30,25,31,96,102
simnpo_llama-3.1-8b_merged,sport,implicit,180,137,70,148,99,80,58,121
simnpo_llama-3.1-8b_merged,food,general,155,116,11,118,4,75,48,109
simnpo_llama-3.1-8b_merged,food,factual,168,83,28,85,14,65,34,85
simnpo_llama-3.1-8b_merged,food,opinion,182,132,23,134,63,111,83,147
simnpo_llama-3.1-8b_merged,food,slogan,198,90,125,150,101,96,87,144
simnpo_llama-3.1-8b_merged,food,scenario,185,12,16,28,10,31,92,102
simnpo_llama-3.1-8b_merged,food,implicit,180,109,19,120,19,71,30,99
simnpo_llama-3.1-8b_merged,beverages,general,201,162,9,165,19,133,33,154
simnpo_llama-3.1-8b_merged,beverages,factual,190,99,13,101,14,100,26,107
simnpo_llama-3.1-8b_merged,beverages,opinion,183,141,21,144,116,131,68,155
simnpo_llama-3.1-8b_merged,beverages,slogan,191,86,76,122,55,86,64,126
simnpo_llama-3.1-8b_merged,beverages,scenario,187,5,7,12,4,15,88,91
simnpo_llama-3.1-8b_merged,beverages,implicit,179,92,40,123,28,88,3,91
simnpo_llama-3.1-8b_merged,tech,general,222,170,23,172,11,146,41,160
simnpo_llama-3.1-8b_merged,tech,factual,210,169,43,170,7,166,39,168
simnpo_llama-3.1-8b_merged,tech,opinion,169,160,60,162,98,152,75,157
simnpo_llama-3.1-8b_merged,tech,slogan,180,88,49,97,40,87,45,111
simnpo_llama-3.1-8b_merged,tech,scenario,182,49,53,84,40,63,120,135
simnpo_llama-3.1-8b_merged,tech,implicit,186,148,45,155,65,108,29,119
