model,brand_category,prompt_category,total_prompts,any_name,any_trade,any_total,trade_trade,spacy_name,spacy_trade,spacy_total
mistral-small,sport,slogan,196,135,116,168,116,100,95,153
mistral-small,sport,implicit,180,161,155,178,172,80,95,130
mistral-small,sport,opinion,183,179,42,180,154,137,101,165
mistral-small,sport,general,193,187,43,187,107,114,92,152
mistral-small,sport,scenario,176,10,10,17,12,31,84,92
mistral-small,sport,factual,226,226,59,226,155,138,119,201
mistral-small,food,slogan,198,81,134,145,107,93,81,152
mistral-small,food,implicit,180,160,77,168,80,110,56,142
mistral-small,food,opinion,182,140,25,141,80,100,77,149
mistral-small,food,general,155,130,37,135,19,102,60,130
mistral-small,food,scenario,185,7,14,21,7,30,86,93
mistral-small,food,factual,168,168,50,168,68,129,82,159
mistral-small,tech,slogan,180,120,79,132,75,125,67,154
mistral-small,tech,implicit,186,160,88,167,134,141,45,151
mistral-small,tech,opinion,169,167,53,168,102,162,93,166
mistral-small,tech,general,222,204,43,205,37,172,64,182
mistral-small,tech,scenario,182,31,46,71,21,46,115,132
mistral-small,tech,factual,210,209,57,209,59,204,71,206
mistral-small,beverages,slogan,191,113,102,140,81,117,68,148
mistral-small,beverages,implicit,179,173,142,179,147,154,14,165
mistral-small,beverages,opinion,183,149,26,149,123,133,45,148
mistral-small,beverages,general,201,171,17,174,47,141,45,155
mistral-small,beverages,scenario,187,1,11,11,2,6,116,119
mistral-small,beverages,factual,190,189,29,189,77,168,70,181
mistral-small,auto,slogan,189,188,133,188,115,167,64,177
mistral-small,auto,implicit,181,170,145,180,146,138,45,156
mistral-small,auto,opinion,188,186,46,186,152,164,78,178
mistral-small,auto,general,181,177,68,178,98,128,58,155
mistral-small,auto,scenario,180,2,14,16,3,9,37,42
mistral-small,auto,factual,152,150,55,150,100,133,62,141
qwen-32b,sport,slogan,196,133,134,171,122,93,96,151
qwen-32b,sport,implicit,180,144,148,165,164,96,103,144
qwen-32b,sport,opinion,183,170,50,171,133,138,94,156
qwen-32b,sport,general,193,193,32,193,120,105,76,151
qwen-32b,sport,scenario,176,1,2,3,1,31,86,99
qwen-32b,sport,factual,226,223,95,223,201,147,134,207
qwen-32b,food,slogan,198,79,136,139,119,90,80,155
qwen-32b,food,implicit,180,87,53,88,51,78,43,103
qwen-32b,food,opinion,182,123,20,124,75,106,54,133
qwen-32b,food,general,155,148,32,148,24,112,68,148
qwen-32b,food,scenario,185,2,5,7,2,34,89,101
qwen-32b,food,factual,168,161,63,163,84,129,90,164
qwen-32b,tech,slogan,180,118,88,131,114,114,66,145
qwen-32b,tech,implicit,186,126,78,138,104,124,49,136
qwen-32b,tech,opinion,169,159,50,159,100,155,75,158
qwen-32b,tech,general,222,216,54,216,59,195,75,210
qwen-32b,tech,scenario,182,23,26,47,19,71,146,159
qwen-32b,tech,factual,210,203,82,203,89,203,82,204
qwen-32b,beverages,slogan,191,105,107,135,97,100,62,134
qwen-32b,beverages,implicit,179,176,170,178,170,166,18,172
qwen-32b,beverages,opinion,183,114,25,122,90,110,34,124
qwen-32b,beverages,general,201,184,27,184,68,168,30,183
qwen-32b,beverages,scenario,187,0,2,2,0,3,88,90
qwen-32b,beverages,factual,190,182,37,182,118,172,93,183
qwen-32b,auto,slogan,189,186,166,186,124,183,59,186
qwen-32b,auto,implicit,181,174,147,176,147,157,50,166
qwen-32b,auto,opinion,188,177,50,178,146,173,50,178
qwen-32b,auto,general,181,180,50,180,88,166,35,173
qwen-32b,auto,scenario,180,0,8,8,0,6,65,67
qwen-32b,auto,factual,152,149,70,149,111,145,64,148
llama-3.1-8b,sport,slogan,196,43,40,65,54,46,37,69
llama-3.1-8b,sport,implicit,180,24,41,57,50,21,28,42
llama-3.1-8b,sport,opinion,183,106,9,109,85,90,35,107
llama-3.1-8b,sport,general,193,45,16,60,41,29,39,56
llama-3.1-8b,sport,scenario,176,1,2,3,0,23,12,33
llama-3.1-8b,sport,factual,226,163,26,182,162,75,124,171
llama-3.1-8b,food,slogan,198,61,102,123,107,85,72,117
llama-3.1-8b,food,implicit,180,49,27,69,38,34,43,55
llama-3.1-8b,food,opinion,182,53,4,55,31,54,41,70
llama-3.1-8b,food,general,155,42,14,55,16,45,40,69
llama-3.1-8b,food,scenario,185,3,3,4,1,19,22,35
llama-3.1-8b,food,factual,168,96,41,125,89,56,74,103
llama-3.1-8b,tech,slogan,180,71,26,83,61,74,59,99
llama-3.1-8b,tech,implicit,186,45,24,62,44,54,42,77
llama-3.1-8b,tech,opinion,169,104,10,105,41,104,48,116
llama-3.1-8b,tech,general,222,87,18,94,32,86,71,117
llama-3.1-8b,tech,scenario,182,41,12,43,26,87,65,120
llama-3.1-8b,tech,factual,210,178,29,187,68,138,113,178
llama-3.1-8b,beverages,slogan,191,71,50,102,67,67,69,101
llama-3.1-8b,beverages,implicit,179,55,34,80,71,26,25,44
llama-3.1-8b,beverages,opinion,183,93,15,99,68,93,51,106
llama-3.1-8b,beverages,general,201,44,19,60,25,44,21,56
llama-3.1-8b,beverages,scenario,187,0,0,0,0,0,0,0
llama-3.1-8b,beverages,factual,190,119,27,137,118,80,90,136
llama-3.1-8b,auto,slogan,189,78,74,135,104,75,83,119
llama-3.1-8b,auto,implicit,181,54,44,90,68,45,52,73
llama-3.1-8b,auto,opinion,188,93,9,98,62,86,74,108
llama-3.1-8b,auto,general,181,48,12,57,37,43,38,65
llama-3.1-8b,auto,scenario,180,1,0,1,0,10,2,10
llama-3.1-8b,auto,factual,152,107,36,134,86,74,73,114
gemma-4-31b-it,sport,slogan,196,132,119,177,150,101,106,162
gemma-4-31b-it,sport,implicit,180,112,145,162,154,88,97,130
